dataset,model,method,drift_type,window_size,tda_subsample,pca_dim,seed,auc,detection_delay,fpr,runtime_per_window
ag_news,minilm,mmd,rotation_drift,200,150,50,789,1.0,0.0,0.2,1.2741796374320984
ag_news,minilm,knn,rotation_drift,200,150,50,789,1.0,0.0,0.0,1.2741796374320984
ag_news,minilm,energy,rotation_drift,200,150,50,789,0.99,0.0,0.0,1.2741796374320984
ag_news,minilm,classifier,rotation_drift,200,150,50,789,0.5299999999999999,1.0,0.6,1.2741796374320984
ag_news,minilm,tda_bottleneck_h0,rotation_drift,200,150,50,789,0.37000000000000005,10.0,0.2,0.6932459115982056
ag_news,minilm,tda_h0_max_lifetime,rotation_drift,200,150,50,789,0.64,0.0,0.4,0.6932459115982056
ag_news,minilm,tda_h0_mean_lifetime,rotation_drift,200,150,50,789,1.0,0.0,0.0,0.6932459115982056
ag_news,minilm,tda_h0_std_lifetime,rotation_drift,200,150,50,789,0.64,4.0,0.4,0.6932459115982056
ag_news,minilm,tda_h0_total_persistence,rotation_drift,200,150,50,789,0.9,0.0,0.0,0.6932459115982056
ag_news,minilm,tda_h1_max_lifetime,rotation_drift,200,150,50,789,0.52,3.0,0.0,0.6932459115982056
ag_news,minilm,tda_h1_n_features,rotation_drift,200,150,50,789,0.4949999999999999,4.0,0.0,0.6932459115982056
ag_news,minilm,tda_h1_total_persistence,rotation_drift,200,150,50,789,0.96,1.0,0.0,0.6932459115982056
ag_news,minilm,tda_landscape_h0_L1_norm,rotation_drift,200,150,50,789,0.64,0.0,0.4,0.6932459115982056
ag_news,minilm,tda_landscape_h0_L2_norm,rotation_drift,200,150,50,789,0.45,4.0,0.0,0.6932459115982056
ag_news,minilm,tda_landscape_h0_L3_norm,rotation_drift,200,150,50,789,0.48,10.0,0.0,0.6932459115982056
ag_news,minilm,tda_landscape_h1_L1_norm,rotation_drift,200,150,50,789,0.5800000000000001,8.0,0.0,0.6932459115982056
ag_news,minilm,tda_landscape_h1_L2_norm,rotation_drift,200,150,50,789,0.54,3.0,0.2,0.6932459115982056
ag_news,minilm,tda_landscape_h1_L3_norm,rotation_drift,200,150,50,789,0.6100000000000001,3.0,0.2,0.6932459115982056
ag_news,minilm,tda_pe_h0,rotation_drift,200,150,50,789,0.24,6.0,0.4,0.6932459115982056
ag_news,minilm,tda_pe_h1,rotation_drift,200,150,50,789,0.36,10.0,0.0,0.6932459115982056
ag_news,minilm,tda_phd,rotation_drift,200,150,50,789,0.85,1.0,0.4,0.6932459115982056
ag_news,minilm,tda_sliced_wass_h0,rotation_drift,200,150,50,789,1.0,0.0,0.2,0.6932459115982056
ag_news,minilm,tda_sliced_wass_h1,rotation_drift,200,150,50,789,1.0,0.0,0.0,0.6932459115982056
ag_news,minilm,tda_wass_h0,rotation_drift,200,150,50,789,1.0,0.0,0.4,0.6932459115982056
ag_news,minilm,tda_wass_h1,rotation_drift,200,150,50,789,1.0,0.0,0.0,0.6932459115982056
ag_news,minilm,centroid,rotation_drift,200,150,50,1011,1.0,0.0,0.4,1.2884121417999268
ag_news,minilm,covariance,rotation_drift,200,150,50,1011,1.0,0.0,0.2,1.2884121417999268
ag_news,minilm,mmd,rotation_drift,200,150,50,1011,0.99,0.0,0.6,1.2884121417999268
ag_news,minilm,knn,rotation_drift,200,150,50,1011,1.0,0.0,0.4,1.2884121417999268
ag_news,minilm,energy,rotation_drift,200,150,50,1011,0.8800000000000001,0.0,0.0,1.2884121417999268
ag_news,minilm,classifier,rotation_drift,200,150,50,1011,0.7350000000000001,0.0,0.2,1.2884121417999268
ag_news,minilm,tda_bottleneck_h0,rotation_drift,200,150,50,1011,0.615,1.0,0.0,0.736462140083313
ag_news,minilm,tda_h0_max_lifetime,rotation_drift,200,150,50,1011,0.7300000000000001,1.0,0.0,0.736462140083313
ag_news,minilm,tda_h0_mean_lifetime,rotation_drift,200,150,50,1011,1.0,0.0,0.4,0.736462140083313
ag_news,minilm,tda_h0_std_lifetime,rotation_drift,200,150,50,1011,0.71,0.0,0.2,0.736462140083313
ag_news,minilm,tda_h0_total_persistence,rotation_drift,200,150,50,1011,0.94,1.0,0.4,0.736462140083313
ag_news,minilm,tda_h1_max_lifetime,rotation_drift,200,150,50,1011,0.76,10.0,0.0,0.736462140083313
ag_news,minilm,tda_h1_n_features,rotation_drift,200,150,50,1011,0.44999999999999996,10.0,0.2,0.736462140083313
ag_news,minilm,tda_h1_total_persistence,rotation_drift,200,150,50,1011,0.98,0.0,0.4,0.736462140083313
ag_news,minilm,tda_landscape_h0_L1_norm,rotation_drift,200,150,50,1011,0.7300000000000001,1.0,0.0,0.736462140083313
ag_news,minilm,tda_landscape_h0_L2_norm,rotation_drift,200,150,50,1011,0.76,2.0,0.2,0.736462140083313
ag_news,minilm,tda_landscape_h0_L3_norm,rotation_drift,200,150,50,1011,0.8,0.0,0.8,0.736462140083313
ag_news,minilm,tda_landscape_h1_L1_norm,rotation_drift,200,150,50,1011,0.43000000000000005,1.0,0.4,0.736462140083313
ag_news,minilm,tda_landscape_h1_L2_norm,rotation_drift,200,150,50,1011,0.32999999999999996,2.0,0.6,0.736462140083313
ag_news,minilm,tda_landscape_h1_L3_norm,rotation_drift,200,150,50,1011,0.32,10.0,0.4,0.736462140083313
ag_news,minilm,tda_pe_h0,rotation_drift,200,150,50,1011,0.59,0.0,0.2,0.736462140083313
ag_news,minilm,tda_pe_h1,rotation_drift,200,150,50,1011,0.47000000000000003,0.0,0.2,0.736462140083313
ag_news,minilm,tda_phd,rotation_drift,200,150,50,1011,0.8700000000000001,0.0,0.2,0.736462140083313
ag_news,minilm,tda_sliced_wass_h0,rotation_drift,200,150,50,1011,0.99,0.0,0.2,0.736462140083313
ag_news,minilm,tda_sliced_wass_h1,rotation_drift,200,150,50,1011,1.0,0.0,0.2,0.736462140083313
ag_news,minilm,tda_wass_h0,rotation_drift,200,150,50,1011,0.98,0.0,0.4,0.736462140083313
ag_news,minilm,tda_wass_h1,rotation_drift,200,150,50,1011,1.0,0.0,0.0,0.736462140083313
20newsgroups,minilm,centroid,no_drift,200,150,50,42,,,0.7333333333333333,0.9425033330917358
20newsgroups,minilm,covariance,no_drift,200,150,50,42,,,0.5333333333333333,0.9425033330917358
