method,auc,tpr,fpr,detection_delay,threshold,detection_accuracy,scenario,seed,window_size,runtime
covariance,1.0,1.0,0.1,0,0.0641862958417793,0.95,style_shift,42,200,0.24190971851348878
mmd,1.0,1.0,0.1,0,0.007777231104186732,0.95,style_shift,42,200,0.1580033302307129
knn,0.76,0.5,0.1,0,0.021415412327976696,0.7,style_shift,42,200,0.035329675674438475
tda_entropy_h0,0.47,0.0,0.1,10,0.05864584630792357,0.45,style_shift,42,200,0.03281465768814087
tda_wasserstein_h0,0.61,0.3,0.1,3,4.546740558462677,0.6,style_shift,42,200,0.0023557186126708985
tda_phd,0.39,0.0,0.1,10,0.04587871536796271,0.45,style_shift,42,200,0.07141729593276977
tda_entropy_h1,0.32,0.0,0.1,10,0.22776449096903578,0.45,style_shift,42,200,0.00014997720718383788
tda_betti_auc,0.7000000000000001,0.3,0.1,3,4.972825913664499,0.6,style_shift,42,200,0.03281465768814087
centroid,1.0,1.0,0.1,0,0.10440487414598465,0.95,style_shift,123,200,0.00017924308776855468
covariance,1.0,1.0,0.1,0,0.06110773692383922,0.95,style_shift,123,200,0.2012994647026062
mmd,1.0,1.0,0.1,0,0.007037075632817386,0.95,style_shift,123,200,0.16420165300369263
knn,0.5700000000000001,0.1,0.1,4,0.030172316474892394,0.5,style_shift,123,200,0.0387305736541748
tda_entropy_h0,0.44,0.0,0.1,10,0.051015448277724126,0.45,style_shift,123,200,0.028287816047668456
tda_wasserstein_h0,0.52,0.1,0.1,3,4.614588080097369,0.5,style_shift,123,200,0.0019339680671691894
tda_phd,0.48,0.0,0.1,10,0.03570463588127863,0.45,style_shift,123,200,0.07002067565917969
tda_entropy_h1,0.85,0.4,0.1,3,0.21059347680345678,0.65,style_shift,123,200,0.0001374959945678711
tda_betti_auc,0.49,0.0,0.1,10,2.930615426599979,0.45,style_shift,123,200,0.028287816047668456
centroid,1.0,1.0,0.1,0,0.09237674474716186,0.95,style_shift,456,200,0.00012656450271606446
covariance,1.0,1.0,0.1,0,0.058945269670043064,0.95,style_shift,456,200,0.23641804456710816
mmd,1.0,1.0,0.1,0,0.00606894323227573,0.95,style_shift,456,200,0.19206199645996094
knn,0.5700000000000001,0.2,0.1,3,0.032984688086934964,0.55,style_shift,456,200,0.041733384132385254
tda_entropy_h0,0.52,0.2,0.1,1,0.024716314008579803,0.55,style_shift,456,200,0.02707059383392334
tda_wasserstein_h0,0.54,0.2,0.1,1,3.9501762994613725,0.55,style_shift,456,200,0.0023447632789611816
tda_phd,0.5599999999999999,0.3,0.1,3,0.02237069395852515,0.6,style_shift,456,200,0.07018312215805053
tda_entropy_h1,0.69,0.4,0.1,1,0.17067058210749547,0.65,style_shift,456,200,0.00014547109603881835
tda_betti_auc,0.41,0.1,0.1,1,4.123409057611287,0.5,style_shift,456,200,0.02707059383392334
